name, time, range
Gol/512x512x1000-1-20,11.156580068500002,2%
Gol/512x512x1000-2-20,6.441120715,3%
Gol/512x512x1000-3-20,4.964981354500001,4%
Gol/512x512x1000-4-20,4.2006169895,4%
Gol/512x512x1000-5-20,3.8576149850000006,6%
Gol/512x512x1000-6-20,3.6955468300000005,2%
Gol/512x512x1000-7-20,3.621978468,4%
Gol/512x512x1000-8-20,3.3795114645,6%
Gol/512x512x1000-9-20,3.3038919470000003,4%
Gol/512x512x1000-10-20,3.1979350655000003,3%
Gol/512x512x1000-11-20,3.1392419025000002,2%
Gol/512x512x1000-12-20,3.1165029470000003,1%
Gol/512x512x1000-13-20,3.1188623945000002,2%
Gol/512x512x1000-14-20,3.1069206245000003,3%
Gol/512x512x1000-15-20,3.077524904,4%
Gol/512x512x1000-16-20,3.0363656055000003,5%
